Name,Username,Password,Email,Position,Permission/Department
Haywood Luby,hLuby,Lu20b#H8,hluby@mail.com,System Administrator,Administrator
Mariah Schumaker,mSchu,Ms12_@17,mschumaker@mail.com,Technical Director,Administrator
Marty Schaeffer,Marty,mS!92@z#,mschaeffer@mail.com,Senior Agent,Agent
Beryl Gauer,Beryl,bGa22#1#,bgauer@mail.com,Senior Agent,Agent
Cathrine Heckstall,Cathrine,CaHe53@0,checkstall@mail.com,Agent,Agent
Dane Ratliff,Dane,DRaff#23,dratliffr@mail.com,Agent,Agent
Halina Dabbs,hDabb,Hali_178,hdabbs@mail.com,Managing Director,Management
Andres Peltier,dPelt,AnP@136#,apeltier@mail.com,Managing Director,Management
,,,,,
Superuser_Admin,Superuser_Admin,Task_2#2#,91031464@mail.computerpower.ac.nz,,
test_customer,test_customer,Tuser#54,tcustomer@mail.com,,
